# 本分析は統計的傾向の可視化のみ。当選を保証するものではありません。
round,draw_date,sum,bin
2022,2025-08-04,113,"[100, 120)"
2023,2025-08-07,152,"[140, 160)"
2024,2025-08-11,144,"[140, 160)"
2025,2025-08-14,168,"[160, 180)"
2026,2025-08-18,72,"[60, 80)"
2027,2025-08-21,131,"[120, 140)"
2028,2025-08-25,110,"[100, 120)"
2029,2025-08-28,178,"[160, 180)"
2030,2025-09-01,135,"[120, 140)"
2031,2025-09-04,93,"[80, 100)"
2032,2025-09-08,159,"[140, 160)"
2033,2025-09-11,132,"[120, 140)"
2034,2025-09-15,134,"[120, 140)"
2035,2025-09-18,100,"[100, 120)"
2036,2025-09-22,137,"[120, 140)"
2037,2025-09-25,118,"[100, 120)"
2038,2025-09-29,195,"[180, 200)"
2039,2025-10-02,149,"[140, 160)"
2040,2025-10-06,102,"[100, 120)"
2041,2025-10-09,139,"[120, 140)"
2042,2025-10-13,174,"[160, 180)"
2043,2025-10-16,168,"[160, 180)"
2044,2025-10-20,117,"[100, 120)"
2045,2025-10-23,68,"[60, 80)"
2046,2025-10-27,102,"[100, 120)"
2047,2025-10-30,132,"[120, 140)"
2048,2025-11-03,151,"[140, 160)"
2049,2025-11-06,180,"[180, 200)"
2050,2025-11-10,110,"[100, 120)"
2051,2025-11-13,143,"[140, 160)"
2052,2025-11-17,111,"[100, 120)"
2053,2025-11-20,192,"[180, 200)"
2054,2025-11-24,142,"[140, 160)"
2055,2025-11-27,101,"[100, 120)"
2056,2025-12-01,91,"[80, 100)"
2057,2025-12-04,134,"[120, 140)"
2058,2025-12-08,112,"[100, 120)"
2059,2025-12-11,150,"[140, 160)"
2060,2025-12-15,169,"[160, 180)"
2061,2025-12-18,112,"[100, 120)"
2062,2025-12-22,129,"[120, 140)"
2063,2025-12-25,171,"[160, 180)"
2064,2025-12-29,150,"[140, 160)"
2065,2026-01-05,153,"[140, 160)"
2066,2026-01-08,173,"[160, 180)"
2067,2026-01-12,108,"[100, 120)"
2068,2026-01-15,101,"[100, 120)"
2069,2026-01-19,141,"[140, 160)"
2070,2026-01-22,141,"[140, 160)"
2071,2026-01-26,168,"[160, 180)"
2072,2026-01-29,168,"[160, 180)"
2073,2026-02-02,107,"[100, 120)"
2074,2026-02-05,116,"[100, 120)"
2075,2026-02-09,119,"[100, 120)"
2076,2026-02-12,121,"[120, 140)"
2077,2026-02-16,151,"[140, 160)"
2078,2026-02-19,120,"[120, 140)"
2079,2026-02-23,111,"[100, 120)"
2080,2026-02-26,159,"[140, 160)"
2081,2026-03-02,197,"[180, 200)"
2082,2026-03-05,114,"[100, 120)"
2083,2026-03-09,103,"[100, 120)"
2084,2026-03-12,131,"[120, 140)"
2085,2026-03-16,131,"[120, 140)"
2086,2026-03-19,141,"[140, 160)"
2087,2026-03-23,115,"[100, 120)"
2088,2026-03-26,145,"[140, 160)"
2089,2026-03-30,155,"[140, 160)"
2090,2026-04-02,80,"[80, 100)"
2091,2026-04-06,139,"[120, 140)"
2092,2026-04-09,164,"[160, 180)"
2093,2026-04-13,126,"[120, 140)"
2094,2026-04-16,79,"[60, 80)"
2095,2026-04-20,136,"[120, 140)"
2096,2026-04-23,138,"[120, 140)"
2097,2026-04-27,150,"[140, 160)"
2098,2026-04-30,101,"[100, 120)"
2099,2026-05-04,191,"[180, 200)"
2100,2026-05-07,157,"[140, 160)"
2101,2026-05-11,162,"[160, 180)"
2102,2026-05-14,165,"[160, 180)"
2103,2026-05-18,58,"[40, 60)"
2104,2026-05-21,145,"[140, 160)"
2105,2026-05-25,165,"[160, 180)"
2106,2026-05-28,128,"[120, 140)"
2107,2026-06-01,147,"[140, 160)"
2108,2026-06-04,103,"[100, 120)"
2109,2026-06-08,146,"[140, 160)"
2110,2026-06-11,141,"[140, 160)"
2111,2026-06-15,106,"[100, 120)"
2112,2026-06-18,116,"[100, 120)"
2113,2026-06-22,155,"[140, 160)"
2114,2026-06-25,115,"[100, 120)"
2115,2026-06-29,126,"[120, 140)"
2116,2026-07-02,97,"[80, 100)"
2117,2026-07-06,140,"[140, 160)"
2118,2026-07-09,122,"[120, 140)"
2119,2026-07-13,143,"[140, 160)"
2120,2026-07-16,97,"[80, 100)"
2121,2026-07-20,82,"[80, 100)"
2122,2026-07-23,124,"[120, 140)"
2123,2026-07-27,109,"[100, 120)"
2124,2026-07-30,169,"[160, 180)"
2125,2026-08-03,151,"[140, 160)"
2126,2026-08-06,174,"[160, 180)"
2127,2026-08-10,126,"[120, 140)"
2128,2026-08-13,155,"[140, 160)"
2129,2026-08-17,94,"[80, 100)"
